Date,Company,Stock_Price,Volume,Volatility,Dividend_Yield,PE_Ratio,Market_Cap,Revenue,Net_Income
2017-09-10,Merck & Co. Inc.,259.53,86543,1.07,2.9,17.8,543210987,1020000000,780000000
2012-10-08,Visa Inc.,489.22,93456,1.93,0.8,38.2,432109876,1050000000,800000000
2012-11-02,Walmart Inc.,207.86,81234,1.18,1.9,27.5,321098765,970000000,800000000
2013-01-10,Exxon Mobil Corporation,204.01,74563,1.05,4.1,18.3,210987654,1100000000,820000000
2011-07-19,Amazon.com Inc.,431.31,87541,1.61,0.9,75.6,109876543,1200000000,900000000
2013-11-28,Apple Inc.,372.46,81234,1.24,1.5,25.4,987654321,1000000000,750000000
2011-09-05,Microsoft Corporation,286.97,91234,1.52,1.8,28.9,876543210,950000000,820000000
2012-04-27,Alphabet Inc.,398.28,76543,1.32,0.7,30.8,765432109,850000000,650000000
2011-01-01,Facebook Inc.,177.40,84521,1.08,0.5,32.1,654321098,1100000000,820000000
2014-04-30,Tesla Inc.,393.10,98765,1.43,0.2,N/A,543210987,750000000,600000000
2015-08-03,NVIDIA Corporation,443.12,70123,1.72,0.4,36.8,432109876,980000000,780000000
2017-02-15,Netflix Inc.,290.19,86543,1.27,0.6,45.2,321098765,850000000,700000000
2017-11-21,PayPal Holdings Inc.,347.52,93456,1.35,0.8,33.7,210987654,920000000,780000000
2018-07-26,Intel Corporation,409.23,81234,1.56,1.3,26.5,109876543,1100000000,850000000
2014-09-02,The Coca-Cola Company,275.09,87541,1.16,2.0,24.3,987654321,990000000,820000000
2016-05-01,Pfizer Inc.,191.38,91234,1.41,2.1,31.6,876543210,1050000000,800000000
2017-05-16,Johnson & Johnson,322.78,76543,1.82,2.2,29.8,765432109,1150000000,890000000
2017-06-20,Visa Inc.,235.20,84521,1.05,0.8,38.2,654321098,960000000,730000000
2012-05-07,McDonald's Corporation,396.78,98765,1.63,2.4,30.5,543210987,920000000,710000000
2018-05-22,JPMorgan Chase & Co.,399.56,70123,1.37,2.5,15.9,432109876,1050000000,800000000
2010-04-23,Mastercard Incorporated,387.05,86543,1.11,0.9,39.8,321098765,940000000,750000000
2013-12-13,Walt Disney Company,411.71,93456,1.92,1.0,23.6,210987654,990000000,820000000
2015-07-14,Berkshire Hathaway Inc.,222.83,81234,1.29,0.5,N/A,109876543,1250000000,1000000000
2014-02-18,Johnson & Johnson,498.90,74563,1.67,2.2,29.8,987654321,1120000000,870000000
2011-02-22,Verizon Communications Inc.,231.26,87541,1.24,4.4,16.9,876543210,1080000000,780000000
2010-08-29,Caterpillar Inc.,140.68,91234,1.07,3.2,19.8,765432109,1020000000,790000000
2015-01-31,Nike Inc.,387.76,76543,0.96,0.9,28.3,654321098,950000000,720000000
2017-01-12,Procter & Gamble Company,208.57,84521,1.62,2.3,23.1,543210987,960000000,800000000
2011-04-05,Oracle Corporation,413.09,98765,1.78,1.2,18.6,432109876,990000000,820000000
2014-07-09,UnitedHealth Group Incorporated,435.91,70123,1.31,1.8,26.5,321098765,1040000000,770000000
2014-11-18,The Goldman Sachs Group Inc.,330.77,86543,1.08,1.6,12.9,210987654,1050000000,800000000
2016-12-22,The Home Depot Inc.,186.42,93456,1.83,2.4,22.7,109876543,1040000000,770000000
2015-09-29,Merck & Co. Inc.,355.21,81234,1.37,2.9,17.8,987654321,1100000000,820000000
2012-01-07,Exxon Mobil Corporation,276.48,74563,1.19,4.1,18.3,876543210,1200000000,900000000
2011-10-14,Amazon.com Inc.,214.50,87541,1.55,0.9,75.6,765432109,1150000000,890000000
2014-03-06,Apple Inc.,419.13,91234,1.71,1.5,25.4,654321098,1000000000,750000000
2012-06-11,Microsoft Corporation,370.55,76543,1.36,1.8,28.9,543210987,950000000,820000000
2016-03-10,Alphabet Inc.,433.99,84521,1.29,0.7,30.8,432109876,850000000,650000000
2010-09-24,Facebook Inc.,306.17,98765,1.64,0.5,32.1,321098765,1100000000,820000000
2017-08-15,Tesla Inc.,202.21,70123,1.27,0.2,N/A,210987654,750000000,600000000
2013-02-26,NVIDIA Corporation,373.69,86543,1.12,0.4,36.8,109876543,980000000,780000000
2013-07-31,Netflix Inc.,328.47,93456,1.81,0.6,45.2,987654321,850000000,700000000
2018-04-02,PayPal Holdings Inc.,289.19,81234,1.38,0.8,33.7,876543210,920000000,780000000
2015-06-08,Intel Corporation,198.78,87541,1.05,1.3,26.5,765432109,1100000000,850000000
2014-12-30,The Coca-Cola Company,423.79,91234,1.47,2.0,24.3,654321098,990000000,820000000
2013-09-03,Nike Inc.,214.11,74563,1.73,0.9,28.3,543210987,950000000,720000000
2010-10-31,Procter & Gamble Company,157.83,87541,1.28,2.3,23.1,432109876,1020000000,790000000
2015-03-20,Oracle Corporation,284.17,86543,1.32,1.2,18.6,321098765,960000000,800000000
2011-12-25,UnitedHealth Group Incorporated,220.15,93456,1.61,1.8,26.5,210987654,1040000000,770000000
2016-01-27,The Goldman Sachs Group Inc.,392.03,81234,1.29,1.6,12.9,109876543,1050000000,800000000
2014-08-20,The Home Depot Inc.,375.22,74563,1.17,2.4,22.7,987654321,1040000000,770000000
2017-03-28,Merck & Co. Inc.,209.11,87541,1.94,2.9,17.8,876543210,1100000000,820000000
2017-12-03,Exxon Mobil Corporation,409.12,93456,1.72,4.1,18.3,765432109,1200000000,900000000
